Pos Model Codename "L2 Cache + L3 Cache" "TDP Watt" "MHz - Turbo" "Cores / Threads" "Perf. Rating" "Cinebench R15 CPU Single 64Bit" "Cinebench R15 CPU Multi 64Bit" "Cinebench R23 Single Core" "Cinebench R23 Multi Core" x265 Blender(-) "7-Zip Single" 7-Zip "Geekbench 5.5 Single-Core" "Geekbench 5.5 Multi-Core" "WebXPRT 3"
Pos Model Codename "L2 Cache + L3 Cache" "TDP Watt" "MHz - Turbo" "Cores / Threads" "Perf. Rating" "Cinebench R15 CPU Single 64Bit" "Cinebench R15 CPU Multi 64Bit" "Cinebench R23 Single Core" "Cinebench R23 Multi Core" x265 Blender(-) "7-Zip Single" 7-Zip "Geekbench 5.5 Single-Core" "Geekbench 5.5 Multi-Core" "WebXPRT 3"
44 "Intel Core i9-9980XE" "Sky Lake-X" 18MB + 24.8MB 165 3000 ‑ 4400 18/36 ~52.773% 197.5n2 3735.5n2   26.05n2 136.5n2 5110n2 93017.5n2 1200 15780 
45 "Intel Core i7-12850HX" "Alder Lake-HX" 14MB + 25MB 55 1500 ‑ 4800 16/24 52.1 260.5n2 2679n2 1720.5n2 16301.5n2 17.25n2 193n2 5762n2 61678.5n2 1782n2 12302n2 284.5n2
46 "Intel Core i7-12800HX" "Alder Lake-HX" 14MB + 25MB 55 1500 ‑ 4800 16/24 56 260 3383 1812 22456 24.9 153.1 5624 76947 1759 14213 309
47* "Intel Core Ultra 7 155H" "Meteor Lake" + 24MB 28 3800 ‑ 4800 16/22 51.1 258.5n2 2410.5n2 1787n2 14502n2 16.1 225 5156 59660 1804n3 11963n3 287
48 "Intel Core i9-12900HK" "Alder Lake-H" 11.5MB + 24MB 45 1800 ‑ 5000 14/20 54.4 257n8 2845n8 1789n8 18621.5n8 20.55n8 178.4n8 5622.5n8 72874n8 1870n7 13717n7 299n5
49 "Intel Core i9-12900H" "Alder Lake-H" 11.5MB + 24MB 45 1800 ‑ 5000 14/20 53.7 265n26 2586n25 1863n25 15987n25 18.7n25 201n25 5881n25 64918n25 1830.5n26 12321.5n26 297.5n22
50 "Intel Core i7-13705H" "Raptor Lake-H" 11.5MB + 24MB 45 1800 ‑ 5000 14/20 55.7 273.5n2 2868.5n2 1874n2 18765n2 20.1n2 181n2 5999.5n2 75165n2 1841n2 14322.5n2 303.5n2
51 "Intel Core i7-13700H" "Raptor Lake-H" 11.5MB + 24MB 45 1800 ‑ 5000 14/20 53.4 268n25 2515n25 1854n25 15609n25 16.9n25 217n25 6014n25 61921n25 1829n25 12567n25 299n20
52 "Intel Core i5-13400F" "Raptor Lake-S" 9.5MB + 20MB 65 2500 ‑ 4600 10/16 52.2 252 2364 1744 15911 19.2 206 5743 60048 1792 12095 294
53 "Intel Core i5-13400" "Raptor Lake-S" 9.5MB + 20MB 65 2500 ‑ 4600 10/16 52.7 257 2358 1786 15953 19.1 206 5829 59510 1795 12107 306
54 "Intel Core i7-12700F" "Alder Lake" 12MB + 25MB 65 3300 ‑ 4900 12/20 52.3 271 2610 1898 15291 17.7 212 6145 61218 1590 10126 281
55 "Intel Core i7-12700" "Alder Lake" 12MB + 25MB 65 3300 ‑ 4900 12/20 58.2 272 3151 1894 21751 25.5 151 6292 78331 1924 14961 314
57 "Intel Core i5-12600K" "Alder Lake" 9.5MB + 20MB 125 2800 ‑ 4900 10/16 56.4 275 2555 1907 17491 30.1 189.5 5944 64260 1904 12797 293
